ts_code,name,industry,first_close,last_close,max_close,pct_change,max_gain
300476.SZ,胜宏科技,元器件,18.23,287.58,346.99,1477.51,1803.4
300502.SZ,新易盛,通信设备,47.97,430.88,462.99,798.23,865.17
300100.SZ,双林股份,汽车配件,10.84,39.62,79.12,265.5,629.89
300436.SZ,广生堂,化学制药,25.81,89.15,172.22,245.41,567.26
300870.SZ,欧陆通,电气设备,44.91,221.0,280.04,392.1,523.56
300153.SZ,科泰电源,电气设备,8.05,29.07,49.9,261.12,519.88
301377.SZ,鼎泰高科,机械基件,23.69,139.1,145.6,487.17,514.61
300469.SZ,信息发展,软件服务,14.6,61.8,88.8,323.29,508.22
300548.SZ,长芯博创,通信设备,26.34,142.0,160.04,439.1,507.59
300204.SZ,舒泰神,生物制药,10.11,27.32,61.0,170.23,503.36
300475.SZ,香农芯创,元器件,32.75,144.34,195.82,340.73,497.92
300641.SZ,正丹股份,化工原料,5.77,17.65,33.65,205.89,483.19
300718.SZ,长盛轴承,机械基件,18.68,85.36,108.38,356.96,480.19
301162.SZ,国能日新,软件服务,51.2,51.26,67.41,0.12,31.66
301090.SZ,华润材料,化工原料,10.82,7.04,10.9,-34.94,0.74
300983.SZ,尤安设计,建筑工程,30.6,26.8,30.72,-12.42,0.39
300212.SZ,易华录,软件服务,30.53,17.45,32.22,-42.84,5.54
300776.SZ,帝尔激光,专用机械,58.94,62.14,83.16,5.43,41.09
300354.SZ,东华测试,电器仪表,49.03,45.5,53.99,-7.2,10.12
300498.SZ,温氏股份,农业综合,20.23,16.88,22.34,-16.56,10.43
300908.SZ,仲景食品,食品,41.99,27.7,48.07,-34.03,14.48
300258.SZ,精锻科技,汽车配件,12.82,14.32,17.37,11.7,35.49
301408.SZ,华人健康,医药商业,15.97,18.56,23.09,16.22,44.58
301069.SZ,凯盛新材,化工原料,21.19,27.8,30.82,31.19,45.45
300856.SZ,科思股份,日用化工,59.6,13.48,89.49,-77.38,50.15
301030.SZ,仕净科技,环境保护,40.15,11.83,62.19,-70.54,54.89
301051.SZ,信濠光电,元器件,63.0,19.6,63.0,-68.89,0.0
300122.SZ,智飞生物,生物制药,59.75,18.87,59.75,-68.42,0.0
301153.SZ,中科江南,软件服务,77.95,24.72,77.95,-68.29,0.0
300536.SZ,农尚环境,建筑工程,22.51,7.25,22.54,-67.79,0.13
300795.SZ,米奥会展,文教休闲,37.7,13.62,42.86,-63.87,13.69
300573.SZ,兴齐眼药,化学制药,177.68,70.29,292.0,-60.44,64.34
301239.SZ,普瑞眼科,医疗保健,81.79,32.89,81.79,-59.79,0.0
300396.SZ,迪瑞医疗,医疗保健,30.49,12.9,30.49,-57.69,0.0
300592.SZ,华凯易佰,互联网,24.22,10.86,24.22,-55.16,0.0
