year,end_date,n_cashflow_act,n_cashflow_inv_act,n_cashflow_fin_act,capex,ma_cash,free_cashflow,c_cash_equ_end_period,fix_assets,cip,fix_assets_chg,cip_chg,c_pay_acq_const_fiolta,c_pay_acq_subcom,c_recp_disp_subcom,cf_pattern,cf_type,lifecycle_stage,cf_desc,risk_signal,health_score,trend_change,capex_intensity
2016,20161231,69740777.24,-25158208.87,30701562.55,49491725.62,0,20249051.62,87302001.51,53965172.51,1324786.32,,,49491725.62,,,+−+,扩张型,高速成长期,经营造血+外部融资→大举投资扩张,关注投资回报率是否覆盖融资成本,3,—,0.7096526247432455
2017,20171231,-31586117.26,-40332546.56,37309066.99,43536669.89,0,-75122787.15,52202027.15,83388088.0,,29422915.49,,43536669.89,,,−−+,烧钱融资型,初创/重大投入期,经营亏损+大举投资，全靠外部融资维持,🔴 融资可持续性是关键，关注现金消耗速度,2,扩张型→烧钱融资型 🔻恶化,
2018,20181231,-35489061.05,-88865835.78,128819709.58,105087254.85,0,-140576315.89999998,56891014.75,83033697.11,63378572.06,-354390.8900000006,,105087254.85,,,−−+,烧钱融资型,初创/重大投入期,经营亏损+大举投资，全靠外部融资维持,🔴 融资可持续性是关键，关注现金消耗速度,2,维持烧钱融资型,
2019,20191231,122296731.3,-58208104.54,-985031.68,63146598.28,0,59150133.02,120395754.78,217558545.16,55624470.46,134524848.05,-7754101.6000000015,63146598.28,,,+−−,成熟型,成熟稳定期,经营造血→支撑投资+偿债/分红，最健康的结构,关注投资是否足以维持竞争力,5,烧钱融资型→成熟型 🔺改善,0.5163392153556274
2020,20201231,28613436.48,-214507314.61,580612852.75,194590389.0,0,-165976952.52,509850543.98,287519177.5,13867305.88,69960632.34,-41757164.58,194590389.0,,,+−+,扩张型,高速成长期,经营造血+外部融资→大举投资扩张,关注投资回报率是否覆盖融资成本,3,成熟型→扩张型 🔻恶化,6.800664755385579
2021,20211231,93405114.8,-148235605.07,-28991382.09,152376601.91,0,-58971487.11,421497851.8,354806655.57,5953642.49,67287478.07,-7913663.390000001,152376601.91,,,+−−,成熟型,成熟稳定期,经营造血→支撑投资+偿债/分红，最健康的结构,关注投资是否足以维持竞争力,5,扩张型→成熟型 🔺改善,1.631351797342901
2022,20221231,103603570.02,-126436253.65,112668505.8,74384110.87,0,29219459.14999999,522819326.85,367014280.1,10591220.13,12207624.530000033,4637577.640000001,74384110.87,,,+−+,扩张型,高速成长期,经营造血+外部融资→大举投资扩张,关注投资回报率是否覆盖融资成本,3,成熟型→扩张型 🔻恶化,0.7179686072173057
2023,20231231,-96665192.38,-192451203.01,1048942010.13,149049896.37,0,-245715088.75,1293027985.09,381546728.03,43739341.63,14532447.929999948,33148121.5,149049896.37,,,−−+,烧钱融资型,初创/重大投入期,经营亏损+大举投资，全靠外部融资维持,🔴 融资可持续性是关键，关注现金消耗速度,2,扩张型→烧钱融资型 🔻恶化,
2024,20241231,98995295.36,-789772262.34,703539753.52,749538780.93,0,-650543485.5699999,1323801904.52,556978772.66,159681218.65,175432044.63,115941877.02,749538780.93,,,+−+,扩张型,高速成长期,经营造血+外部融资→大举投资扩张,关注投资回报率是否覆盖融资成本,3,烧钱融资型→扩张型 🔺改善,7.571458605222348
2025,20251231,1100067543.06,-13684756045.34,13590728285.21,13734813748.04,0,-12634746204.98,2361172579.43,9282870540.55,2534110861.9,8725891767.89,2374429643.25,13734813748.04,,,+−+,扩张型,高速成长期,经营造血+外部融资→大举投资扩张,关注投资回报率是否覆盖融资成本,3,维持扩张型,12.48542767640848
