year,end_date,n_cashflow_act,n_cashflow_inv_act,n_cashflow_fin_act,c_pay_acq_const_fiolta,free_cashflow,c_cash_equ_end_period,is_quarterly,cf_pattern,cf_type,lifecycle_stage,cf_desc,risk_signal,health_score,trend_change,capex_intensity
2011,20111231,215514768.68,-217974733.65,78818321.14,257026500.62,-41511731.94,103510095.85,False,+−+,扩张型,高速成长期,经营造血+外部融资→大举投资扩张,关注投资回报率是否覆盖融资成本,3,—,1.1926166461549432
2012,20121231,294211497.25,-99512694.49,-188925174.09,92805812.31,201405684.94,109910112.36,False,+−−,成熟型,成熟稳定期,经营造血→支撑投资+偿债/分红，最健康的结构,关注投资是否足以维持竞争力,5,扩张型→成熟型 🔺改善,0.31543910818393417
2013,20131231,328219455.32,-171786965.69,-138083851.49,176939598.04,151279857.28,124003023.43,False,+−−,成熟型,成熟稳定期,经营造血→支撑投资+偿债/分红，最健康的结构,关注投资是否足以维持竞争力,5,维持成熟型,0.539089304951443
2014,20141231,458807959.78,-384903086.37,-125292378.19,380592623.37,78215336.40999997,72286732.36,False,+−−,成熟型,成熟稳定期,经营造血→支撑投资+偿债/分红，最健康的结构,关注投资是否足以维持竞争力,5,维持成熟型,0.8295248921847291
2015,20151231,238097456.35,-938179922.69,1012326836.22,428712359.54,-190614903.19000003,384961805.38,False,+−+,扩张型,高速成长期,经营造血+外部融资→大举投资扩张,关注投资回报率是否覆盖融资成本,3,成熟型→扩张型 🔻恶化,1.8005751347036598
2016,20161231,276312818.13,-163318686.28,-202583918.5,741711525.66,-465398707.53,301591359.59,False,+−−,成熟型,成熟稳定期,经营造血→支撑投资+偿债/分红，最健康的结构,关注投资是否足以维持竞争力,5,扩张型→成熟型 🔺改善,2.684318196599329
2017,20171231,929012976.04,-2918798658.96,2944270646.46,1286815070.5,-357802094.46000004,1258426840.16,False,+−+,扩张型,高速成长期,经营造血+外部融资→大举投资扩张,关注投资回报率是否覆盖融资成本,3,成熟型→扩张型 🔻恶化,1.3851421925075398
2018,20181231,605331546.49,-894630117.23,-249775463.96,1328241245.8,-722909699.31,731672348.04,False,+−−,成熟型,成熟稳定期,经营造血→支撑投资+偿债/分红，最健康的结构,关注投资是否足以维持竞争力,5,扩张型→成熟型 🔺改善,2.194237609954039
2019,20191231,1239421359.4,-1026254249.95,-241140065.3,939849836.7,299571522.70000005,715182068.12,False,+−−,成熟型,成熟稳定期,经营造血→支撑投资+偿债/分红，最健康的结构,关注投资是否足以维持竞争力,5,维持成熟型,0.7582972728136446
2020,20201231,1123685580.01,-587280804.65,-564960874.38,1405987218.49,-282301638.48,674866422.08,False,+−−,成熟型,成熟稳定期,经营造血→支撑投资+偿债/分红，最健康的结构,关注投资是否足以维持竞争力,5,维持成熟型,1.2512283182253596
2021,20211231,1186819193.35,-3736424732.92,2823560530.55,3520648226.25,-2333829032.9,935672390.98,False,+−+,扩张型,高速成长期,经营造血+外部融资→大举投资扩张,关注投资回报率是否覆盖融资成本,3,成熟型→扩张型 🔻恶化,2.966457103134951
2022,20221231,2284020088.4,-5105820338.36,4296748972.35,5425571755.88,-3141551667.48,2410212553.28,False,+−+,扩张型,高速成长期,经营造血+外部融资→大举投资扩张,关注投资回报率是否覆盖融资成本,3,维持扩张型,2.375448352418265
2023,20231231,3365629276.74,-3410258600.39,-71428358.13,3176917076.36,188712200.37999964,2313937932.51,False,+−−,成熟型,成熟稳定期,经营造血→支撑投资+偿债/分红，最健康的结构,关注投资是否足以维持竞争力,5,扩张型→成熟型 🔺改善,0.9439295938848057
2024,20241231,3236068686.84,-3727762109.68,2187197505.72,3145862082.45,90206604.39000034,3942266589.29,False,+−+,扩张型,高速成长期,经营造血+外部融资→大举投资扩张,关注投资回报率是否覆盖融资成本,3,成熟型→扩张型 🔻恶化,0.972124632348862
