year,end_date,n_cashflow_act,n_cashflow_inv_act,n_cashflow_fin_act,c_pay_acq_const_fiolta,free_cashflow,c_cash_equ_end_period,is_quarterly
2008,20081231,50422579.56,-46407204.37,5495749.2,28947106.63,21475472.930000003,26866349.1,False
2009,20091231,58413072.75,-25673441.65,-13938658.72,25861690.34,32551382.41,45100185.53,False
2010,20101231,70353349.07,-57603143.85,25638534.84,58924873.09,11428475.97999999,82457611.53,False
2012,20121231,44198660.94,-86904205.12,42334009.28,88628389.4,-44429728.46000001,94165395.55,False
2013,20131231,36100350.03,-82383186.49,50551875.03,83863531.69,-47763181.66,96728826.3,False
2014,20141231,50933552.52,-31764720.27,-22077032.46,39299433.89,11634118.630000003,93721452.39,False
2015,20151231,101800008.85,-85457140.82,15044478.26,72420922.14,29379086.709999993,127436051.58,False
2016,20161231,173213269.49,-118128854.02,-42615487.63,117233118.5,55980150.99000001,144217401.17,False
2017,20171231,214584803.8,-227465733.51,443325132.47,196241717.64,18343086.160000026,565421536.7,False
2018,20181231,325760454.38,-337171065.8,156405559.03,224435573.55,101324880.82999998,726704433.48,False
2019,20191231,201019284.1,-417079563.37,23729395.04,298512474.41,-97493190.31000003,536750446.94,False
2020,20201231,228794086.62,-302729666.05,194060.15,232614937.92,-3820851.299999982,452938691.03,False
2021,20211231,131318304.57,-294483852.83,799368714.53,304506589.93,-173188285.36,1072614318.91,False
2022,20221231,175064987.46,-802757119.82,334262883.87,621820034.74,-446755047.28,798504852.3,False
2023,20231231,437781292.47,-883799973.22,631986853.05,904530656.16,-466749363.68999994,1000561900.97,False
2024,20241231,428861909.93,-800843859.48,601700308.89,759665755.87,-330803845.94,1223942868.6,False
2025,20250930,294302412.34,-1609407283.55,,,,397770060.57,True
