event_date,year,event_type,detail,pdf_url,keyword,source
2002-12-31,2002,资产置换,资产置换及董事变更,http://static.cninfo.com.cn/finalpage/2002-12-31/10095350.html,资产置换,巨潮资讯网
2005-11-11,2005,资产置换,关于与内蒙古博源投资集团有限公司资产置换公告,http://static.cninfo.com.cn/finalpage/2005-11-11/16186023.PDF,资产置换,巨潮资讯网
2005-12-28,2005,收购/并购,收购报告书摘要,http://static.cninfo.com.cn/finalpage/2005-12-28/16326510.PDF,收购报告书,巨潮资讯网
2006-01-06,2006,收购/并购,董事会关于内蒙古博源投资集团有限公司收购事宜致全体股东的报告书,http://static.cninfo.com.cn/finalpage/2006-01-06/16353061.PDF,收购报告书,巨潮资讯网
2006-04-15,2006,收购/并购,内蒙古博源投资集团有限公司关于收购公司收购报告书,http://static.cninfo.com.cn/finalpage/2006-04-15/16906529.PDF,收购报告书,巨潮资讯网
2006-04-25,2006,资产置换,关于与内蒙古博源投资集团有限公司资产置换的关联交易公告,http://static.cninfo.com.cn/finalpage/2006-04-25/16966710.PDF,资产置换,巨潮资讯网
2006-12-08,2006,资产置换,关于与内蒙古博源投资集团有限公司资产置换的关联交易公告,http://static.cninfo.com.cn/finalpage/2006-12-08/19399013.PDF,资产置换,巨潮资讯网
2008-01-16,2008,定向增发,关于发审委审核非公开定向增发股票停牌的公告,http://static.cninfo.com.cn/finalpage/2008-01-16/36687448.PDF,定向增发,巨潮资讯网
2008-05-06,2008,资产置换,关于与内蒙古博源投资集团有限公司资产置换的关联交易公告,http://static.cninfo.com.cn/finalpage/2008-05-06/39476698.PDF,资产置换,巨潮资讯网
2008-05-06,2008,其他重组事项,置换锡林郭勒苏尼特碱业有限公司股权项目资产评估报告书,http://static.cninfo.com.cn/finalpage/2008-05-06/39476702.PDF,资产置换,巨潮资讯网
2008-05-06,2008,其他重组事项,公司置换内蒙古博源联合化工有限公司股权项目资产评估报告书,http://static.cninfo.com.cn/finalpage/2008-05-06/39476695.PDF,资产置换,巨潮资讯网
2008-08-13,2008,收购/并购,关于收购内蒙古博源控股集团有限公司所持内蒙古苏里格天然气化工有限公司股权的公告,http://static.cninfo.com.cn/finalpage/2008-08-13/42075830.PDF,股权收购,巨潮资讯网
2008-08-13,2008,收购/并购,收购股权项目资产评估报告书,http://static.cninfo.com.cn/finalpage/2008-08-13/42075832.PDF,收购报告书,巨潮资讯网
2008-12-05,2008,收购/并购,股权收购项目资产评估报告书,http://static.cninfo.com.cn/finalpage/2008-12-05/46982562.PDF,收购报告书,巨潮资讯网
2008-12-05,2008,收购/并购,关于重新评估及收购内蒙古博源控股集团有限公司持有的内蒙古苏里格天然气化工有限公司11.24%股权的公告,http://static.cninfo.com.cn/finalpage/2008-12-05/46982561.PDF,股权收购,巨潮资讯网
2009-09-02,2009,收购/并购,关于收购内蒙古博源煤化工有限责任公司股权的关联交易公告,http://static.cninfo.com.cn/finalpage/2009-09-02/56690911.PDF,股权收购,巨潮资讯网
2009-11-19,2009,收购/并购,关于收购乌审旗蒙大矿业有限责任公司股权的公告,http://static.cninfo.com.cn/finalpage/2009-11-19/57308707.PDF,股权收购,巨潮资讯网
2009-11-19,2009,收购/并购,关于收购内蒙古苏里格天然气化工有限公司20%股权的公告,http://static.cninfo.com.cn/finalpage/2009-11-19/57308708.PDF,股权收购,巨潮资讯网
2011-03-10,2011,收购/并购,拟收购美国西格玛投资集团有限公司持有的内蒙古博源联合化工有限公司股权项目资产评估报告书,http://static.cninfo.com.cn/finalpage/2011-03-10/59101631.PDF,收购报告书,巨潮资讯网
2011-03-10,2011,收购/并购,关于收购内蒙古博源联合化工有限公司5%股权的关联交易公告,http://static.cninfo.com.cn/finalpage/2011-03-10/59101628.PDF,股权收购,巨潮资讯网
2011-11-29,2011,收购/并购,关于收购内蒙古博源联合化工有限公司28.8%股权的关联交易公告,http://static.cninfo.com.cn/finalpage/2011-11-29/60255727.PDF,股权收购,巨潮资讯网
2011-11-29,2011,收购/并购,拟收购美国西格玛投资集团有限公司持有内蒙古博源联合化工有限公司股权项目资产评估报告书,http://static.cninfo.com.cn/finalpage/2011-11-29/60255731.PDF,收购报告书,巨潮资讯网
2012-04-06,2012,收购/并购,关于收购内蒙古远兴江山化工有限公司股权的关联交易公告,http://static.cninfo.com.cn/finalpage/2012-04-06/60788069.PDF,股权收购,巨潮资讯网
2013-04-22,2013,重大资产重组,重大资产重组进展公告,http://static.cninfo.com.cn/finalpage/2013-04-22/62389792.PDF,重大资产重组,巨潮资讯网
2013-05-02,2013,重大资产重组,重大资产重组进展公告,http://static.cninfo.com.cn/finalpage/2013-05-02/62436763.PDF,重大资产重组,巨潮资讯网
2013-05-06,2013,重大资产重组,重大资产重组进展公告,http://static.cninfo.com.cn/finalpage/2013-05-06/62455713.PDF,重大资产重组,巨潮资讯网
2013-05-10,2013,重大资产重组,重大资产重组进展公告,http://static.cninfo.com.cn/finalpage/2013-05-10/62475783.PDF,重大资产重组,巨潮资讯网
2013-05-22,2013,重大资产重组,重大资产重组进展公告,http://static.cninfo.com.cn/finalpage/2013-05-22/62512378.PDF,重大资产重组,巨潮资讯网
2013-05-29,2013,重大资产重组,重大资产重组进展公告,http://static.cninfo.com.cn/finalpage/2013-05-29/62531711.PDF,重大资产重组,巨潮资讯网
2013-06-05,2013,重大资产重组,重大资产重组进展公告,http://static.cninfo.com.cn/finalpage/2013-06-05/62559243.PDF,重大资产重组,巨潮资讯网
2013-06-24,2013,重大资产重组,重大资产重组进展公告,http://static.cninfo.com.cn/finalpage/2013-06-24/62603046.PDF,重大资产重组,巨潮资讯网
2013-06-28,2013,重大资产重组,重大资产重组进展公告,http://static.cninfo.com.cn/finalpage/2013-06-28/62620265.PDF,重大资产重组,巨潮资讯网
2013-07-05,2013,重大资产重组,重大资产重组进展公告,http://static.cninfo.com.cn/finalpage/2013-07-05/62773935.PDF,重大资产重组,巨潮资讯网
2013-07-12,2013,重大资产重组,重大资产重组进展公告,http://static.cninfo.com.cn/finalpage/2013-07-12/62826684.PDF,重大资产重组,巨潮资讯网
2013-07-15,2013,重大资产重组,重大资产重组进展公告,http://static.cninfo.com.cn/finalpage/2013-07-15/62830739.PDF,重大资产重组,巨潮资讯网
2013-07-18,2013,重组相关,重组预案独立财务顾问核查意见表,http://static.cninfo.com.cn/finalpage/2013-07-18/62846085.PDF,重组预案,巨潮资讯网
2013-07-18,2013,发行股份购买资产,海通证券股份有限公司关于《内蒙古远兴能源股份有限公司发行股份购买资产并募集配套资金暨关联交易预案》之核查意见书,http://static.cninfo.com.cn/finalpage/2013-07-18/62846084.PDF,发行股份购买资产,巨潮资讯网
2013-07-18,2013,发行股份购买资产,独立董事关于公司发行股份购买资产并募集配套资金暨关联交易事项的事前认可意见,http://static.cninfo.com.cn/finalpage/2013-07-18/62846087.PDF,发行股份购买资产,巨潮资讯网
2013-07-18,2013,发行股份购买资产,独立董事关于公司发行股份购买资产并募集配套资金暨关联交易事项的独立意见,http://static.cninfo.com.cn/finalpage/2013-07-18/62846088.PDF,发行股份购买资产,巨潮资讯网
2013-07-18,2013,重大资产重组,董事会关于重大资产重组的一般风险提示公告,http://static.cninfo.com.cn/finalpage/2013-07-18/62846096.PDF,重大资产重组,巨潮资讯网
2013-07-18,2013,发行股份购买资产,发行股份购买资产并募集配套资金暨关联交易预案,http://static.cninfo.com.cn/finalpage/2013-07-18/62846090.PDF,发行股份购买资产,巨潮资讯网
2013-07-18,2013,发行股份购买资产,非公开发行股份购买资产协议,http://static.cninfo.com.cn/finalpage/2013-07-18/62846091.PDF,发行股份购买资产,巨潮资讯网
2013-08-17,2013,重大资产重组,重大资产重组进展公告,http://static.cninfo.com.cn/finalpage/2013-08-17/62952626.PDF,重大资产重组,巨潮资讯网
2013-09-17,2013,重大资产重组,重大资产重组进展公告,http://static.cninfo.com.cn/finalpage/2013-09-17/63089766.PDF,重大资产重组,巨潮资讯网
2013-10-17,2013,重大资产重组,重大资产重组进展公告,http://static.cninfo.com.cn/finalpage/2013-10-17/63162376.PDF,重大资产重组,巨潮资讯网
2013-11-19,2013,重大资产重组,重大资产重组进展公告,http://static.cninfo.com.cn/finalpage/2013-11-19/63279496.PDF,重大资产重组,巨潮资讯网
2013-12-18,2013,重大资产重组,重大资产重组进展公告,http://static.cninfo.com.cn/finalpage/2013-12-18/63386298.PDF,重大资产重组,巨潮资讯网
2014-01-16,2014,发行股份购买资产,独立董事关于公司发行股份购买资产并募集配套资金暨关联交易事项的事前认可意见,http://static.cninfo.com.cn/finalpage/2014-01-16/63489053.PDF,发行股份购买资产,巨潮资讯网
2014-01-16,2014,发行股份购买资产,发行股份购买资产并募集配套资金暨关联交易报告书（草案）,http://static.cninfo.com.cn/finalpage/2014-01-16/63489060.PDF,发行股份购买资产,巨潮资讯网
2014-01-16,2014,发行股份购买资产,发行股份购买资产并募集配套资金暨关联交易报告书草案（摘要）,http://static.cninfo.com.cn/finalpage/2014-01-16/63489063.PDF,发行股份购买资产,巨潮资讯网
2014-01-16,2014,发行股份购买资产,非公开发行股份购买资产协议,http://static.cninfo.com.cn/finalpage/2014-01-16/63489064.PDF,发行股份购买资产,巨潮资讯网
2014-01-16,2014,发行股份购买资产,独立董事关于发行股份购买资产并募集配套资金暨关联交易的独立意见,http://static.cninfo.com.cn/finalpage/2014-01-16/63489052.PDF,发行股份购买资产,巨潮资讯网
2014-01-16,2014,收购/并购,收购报告书摘要,http://static.cninfo.com.cn/finalpage/2014-01-16/63489106.PDF,收购报告书,巨潮资讯网
2014-01-16,2014,重组相关,重组报告书独立财务顾问核查意见表,http://static.cninfo.com.cn/finalpage/2014-01-16/63489069.PDF,重组报告书,巨潮资讯网
2014-01-16,2014,重大资产重组,董事会关于重大资产重组的一般风险提示公告,http://static.cninfo.com.cn/finalpage/2014-01-16/63489108.PDF,重大资产重组,巨潮资讯网
2014-02-19,2014,要约收购,内蒙古建中律师事务所关于内蒙古博源控股集团有限公司及其一致行动人北京中稷弘立资产管理有限公司免于提交豁免要约收购申请之专项核查法律意见,http://static.cninfo.com.cn/finalpage/2014-02-19/63585604.PDF,要约收购,巨潮资讯网
2014-03-27,2014,重大资产重组,关于重大资产重组申请材料获得中国证监会行政许可申请受理的公告,http://static.cninfo.com.cn/finalpage/2014-03-27/63730408.PDF,重大资产重组,巨潮资讯网
2014-04-02,2014,收购/并购,中国中煤能源股份有限公司拟收购内蒙古中煤蒙大新能源化工有限公司部分股权项目资产评估报告书,http://static.cninfo.com.cn/finalpage/2014-04-02/63772306.PDF,收购报告书,巨潮资讯网
2014-05-23,2014,重大资产重组,关于调整本次重大资产重组募集配套资金用途的公告,http://static.cninfo.com.cn/finalpage/2014-05-23/64056390.PDF,重大资产重组,巨潮资讯网
2014-06-25,2014,重大资产重组,关于中国证监会上市公司并购重组审核委员会审核公司重大资产重组事项的停牌提示性公告,http://static.cninfo.com.cn/finalpage/2014-06-25/1200005449.PDF,重大资产重组,巨潮资讯网
2014-07-02,2014,重大资产重组,关于公司重大资产重组事项获得中国证监会并购重组委员会审核通过暨公司股票复牌的公告,http://static.cninfo.com.cn/finalpage/2014-07-02/1200024303.PDF,重大资产重组,巨潮资讯网
2014-07-30,2014,发行股份购买资产,关于发行股份购买资产并募集配套资金获得中国证监会核准批复的公告,http://static.cninfo.com.cn/finalpage/2014-07-30/1200088860.PDF,发行股份购买资产,巨潮资讯网
2014-07-31,2014,发行股份购买资产,发行股份购买资产并募集配套资金暨关联交易报告书修订说明,http://static.cninfo.com.cn/finalpage/2014-07-31/1200089137.PDF,发行股份购买资产,巨潮资讯网
2014-07-31,2014,发行股份购买资产,发行股份购买资产并募集配套资金暨关联交易报告书（修订稿）摘要,http://static.cninfo.com.cn/finalpage/2014-07-31/1200089136.PDF,发行股份购买资产,巨潮资讯网
