event_date,year,event_type,detail,pdf_url,keyword,source
2004-08-21,2004,收购/并购,关于收购股权的关联交易公告,http://static.cninfo.com.cn/finalpage/2004-08-21/14474664.html,股权收购,巨潮资讯网
2007-03-27,2007,收购/并购,关于收购相关公司股权的公告,http://static.cninfo.com.cn/finalpage/2007-03-27/21789466.PDF,股权收购,巨潮资讯网
2009-11-14,2009,收购/并购,董事会关于收购浙江巨圣氟化学有限公司股权暨关联交易的公告,http://static.cninfo.com.cn/finalpage/2009-11-14/57290484.PDF,股权收购,巨潮资讯网
2010-09-30,2010,收购/并购,收购股权进展情况公告,http://static.cninfo.com.cn/finalpage/2010-09-30/58487404.PDF,股权收购,巨潮资讯网
2010-11-27,2010,收购/并购,关于收购控股子公司股权的公告,http://static.cninfo.com.cn/finalpage/2010-11-27/58712277.PDF,股权收购,巨潮资讯网
2011-04-16,2011,收购/并购,董事会关于收购浙江凯圣氟化学有限公司股权的公告,http://static.cninfo.com.cn/finalpage/2011-04-16/59278883.PDF,股权收购,巨潮资讯网
2011-04-16,2011,收购/并购,董事会关于收购浙江衢州联州致冷剂有限公司股权的公告,http://static.cninfo.com.cn/finalpage/2011-04-16/59278884.PDF,股权收购,巨潮资讯网
2013-04-16,2013,收购/并购,收购国有股权获浙江省国有资产监督管理委员会批复的公告,http://static.cninfo.com.cn/finalpage/2013-04-16/62365231.PDF,股权收购,巨潮资讯网
2013-05-04,2013,收购/并购,收购国有股权进展公告,http://static.cninfo.com.cn/finalpage/2013-05-04/62456658.PDF,股权收购,巨潮资讯网
2013-12-19,2013,收购/并购,宁波巨化化工科技有限公司拟收购股权涉及的宁波巍华化工有限公司股东全部权益价值评估项目资产评估报告,http://static.cninfo.com.cn/finalpage/2013-12-19/63390330.PDF,股权收购,巨潮资讯网
2017-05-11,2017,其他重组事项,关于控股股东更名及相关工商登记事项变更的公告,http://static.cninfo.com.cn/finalpage/2017-05-11/1203492024.PDF,控股股东变更,巨潮资讯网
2020-09-19,2020,重大资产重组,筹划重大资产重组停牌公告,http://static.cninfo.com.cn/finalpage/2020-09-19/1208461281.PDF,重大资产重组,巨潮资讯网
2020-09-26,2020,重大资产重组,筹划重大资产重组停牌进展公告,http://static.cninfo.com.cn/finalpage/2020-09-26/1208495719.PDF,重大资产重组,巨潮资讯网
2020-10-13,2020,发行股份购买资产,发行股份及支付现金购买资产并募集配套资金暨关联交易预案,http://static.cninfo.com.cn/finalpage/2020-10-13/1208538064.PDF,发行股份购买资产,巨潮资讯网
2020-10-13,2020,要约收购,董事会关于控股股东巨化集团有限公司及其一致行动人免于以要约收购方式增持公司股份的说明,http://static.cninfo.com.cn/finalpage/2020-10-13/1208538057.PDF,要约收购,巨潮资讯网
2020-10-13,2020,重大资产重组,关于重大资产重组的一般风险提示暨股票复牌公告,http://static.cninfo.com.cn/finalpage/2020-10-13/1208538053.PDF,重大资产重组,巨潮资讯网
2020-10-13,2020,发行股份购买资产,发行股份及支付现金购买资产并募集配套资金暨关联交易预案摘要,http://static.cninfo.com.cn/finalpage/2020-10-13/1208538063.PDF,发行股份购买资产,巨潮资讯网
2020-10-13,2020,重大资产重组,董事会关于本次交易相关主体不存在依据《关于加强与上市公司重大资产重组相关股票异常交易监管的暂行规定》第十三条不得参与任何上市公司重大资产重组情形的说明,http://static.cninfo.com.cn/finalpage/2020-10-13/1208538055.PDF,重大资产重组,巨潮资讯网
2020-10-13,2020,重大资产重组,关于筹划重大资产重组停牌前一个交易日前十大股东和前十大无限售条件股东持股情况的公告,http://static.cninfo.com.cn/finalpage/2020-10-13/1208538061.PDF,重大资产重组,巨潮资讯网
2020-10-13,2020,重大资产重组,关于重大资产重组方案获得浙江省国资委原则性同意的公告,http://static.cninfo.com.cn/finalpage/2020-10-13/1208538062.PDF,重大资产重组,巨潮资讯网
2020-10-13,2020,重大资产重组,董事会关于本次交易不构成《上市公司重大资产重组管理办法》第十三条规定的重组上市情形的说明,http://static.cninfo.com.cn/finalpage/2020-10-13/1208538067.PDF,重大资产重组,巨潮资讯网
2020-10-13,2020,重大资产重组,董事会关于本次交易符合《关于规范上市公司重大资产重组若干问题的规定》第四条规定的说明,http://static.cninfo.com.cn/finalpage/2020-10-13/1208538068.PDF,重大资产重组,巨潮资讯网
2020-10-13,2020,重大资产重组,董事会关于本次交易符合《上市公司重大资产重组管理办法》第十一条和第四十三条规定的说明,http://static.cninfo.com.cn/finalpage/2020-10-13/1208538054.PDF,重大资产重组,巨潮资讯网
2020-10-24,2020,发行股份购买资产,关于收到上海证券交易所对本公司发行股份及支付现金购买资产并募集配套资金暨关联交易预案的信息披露问询函的公告,http://static.cninfo.com.cn/finalpage/2020-10-24/1208608295.PDF,发行股份购买资产,巨潮资讯网
2020-10-30,2020,发行股份购买资产,关于延期回复上海证券交易所对公司发行股份及支付现金购买资产并募集配套资金暨关联交易预案的信息披露问询函的公告,http://static.cninfo.com.cn/finalpage/2020-10-30/1208650801.PDF,发行股份购买资产,巨潮资讯网
2020-11-06,2020,发行股份购买资产,关于再次延期回复上海证券交易所对公司发行股份及支付现金购买资产并募集配套资金暨关联交易预案的信息披露问询函的公告,http://static.cninfo.com.cn/finalpage/2020-11-06/1208698189.PDF,发行股份购买资产,巨潮资讯网
2020-11-12,2020,重大资产重组,关于重大资产重组的进展公告,http://static.cninfo.com.cn/finalpage/2020-11-12/1208729024.PDF,重大资产重组,巨潮资讯网
2020-11-13,2020,发行股份购买资产,关于继续延期回复上海证券交易所对公司发行股份及支付现金购买资产并募集配套资金暨关联交易预案的信息披露问询函的公告,http://static.cninfo.com.cn/finalpage/2020-11-13/1208736645.PDF,发行股份购买资产,巨潮资讯网
2020-11-19,2020,发行股份购买资产,发行股份及支付现金购买资产并募集配套资金暨关联交易预案摘要（修订稿）,http://static.cninfo.com.cn/finalpage/2020-11-19/1208764143.PDF,发行股份购买资产,巨潮资讯网
2020-11-19,2020,发行股份购买资产,摩根士丹利华鑫证券有限责任公司对上海证券交易所《关于对浙江巨化股份有限公司发行股份及支付现金购买资产并募集配套资金暨关联交易预案的信息披露问询函》之核查意见,http://static.cninfo.com.cn/finalpage/2020-11-19/1208764144.PDF,发行股份购买资产,巨潮资讯网
2020-11-19,2020,发行股份购买资产,中信证券股份有限公司对上海证券交易所《关于对浙江巨化股份有限公司发行股份及支付现金购买资产并募集配套资金暨关联交易预案的信息披露问询函》之核查意见,http://static.cninfo.com.cn/finalpage/2020-11-19/1208764145.PDF,发行股份购买资产,巨潮资讯网
2020-11-19,2020,发行股份购买资产,关于上海证券交易所《关于对巨化股份发行股份及支付现金购买资产并募集配套资金暨关联交易预案的信息披露问询函》的回复公告,http://static.cninfo.com.cn/finalpage/2020-11-19/1208764146.PDF,发行股份购买资产,巨潮资讯网
2020-11-19,2020,发行股份购买资产,发行股份及支付现金购买资产并募集配套资金暨关联交易预案修订说明的公告,http://static.cninfo.com.cn/finalpage/2020-11-19/1208764141.PDF,发行股份购买资产,巨潮资讯网
2020-11-19,2020,发行股份购买资产,发行股份及支付现金购买资产并募集配套资金暨关联交易预案（修订稿）,http://static.cninfo.com.cn/finalpage/2020-11-19/1208764142.PDF,发行股份购买资产,巨潮资讯网
2020-12-12,2020,重大资产重组,关于重大资产重组的进展公告,http://static.cninfo.com.cn/finalpage/2020-12-12/1208893116.PDF,重大资产重组,巨潮资讯网
2021-01-12,2021,重大资产重组,关于重大资产重组的进展公告,http://static.cninfo.com.cn/finalpage/2021-01-12/1209082849.PDF,重大资产重组,巨潮资讯网
2021-02-10,2021,重大资产重组,巨化股份关于重大资产重组的进展公告,http://static.cninfo.com.cn/finalpage/2021-02-10/1209263777.PDF,重大资产重组,巨潮资讯网
2021-03-10,2021,重大资产重组,巨化股份关于重大资产重组的进展公告,http://static.cninfo.com.cn/finalpage/2021-03-10/1209358057.PDF,重大资产重组,巨潮资讯网
2021-04-12,2021,重大资产重组,关于重大资产重组的进展情况暨延期发出召开股东大会通知的公告,http://static.cninfo.com.cn/finalpage/2021-04-12/1209671939.PDF,重大资产重组,巨潮资讯网
2021-05-12,2021,重大资产重组,巨化股份关于重大资产重组进展情况的公告,http://static.cninfo.com.cn/finalpage/2021-05-12/1209952166.PDF,重大资产重组,巨潮资讯网
2021-06-11,2021,重大资产重组,巨化股份关于终止重大资产重组事项的公告,http://static.cninfo.com.cn/finalpage/2021-06-11/1210216802.PDF,重大资产重组,巨潮资讯网
2021-06-11,2021,重大资产重组,巨化股份关于召开终止重大资产重组事项投资者说明会公告,http://static.cninfo.com.cn/finalpage/2021-06-11/1210216805.PDF,重大资产重组,巨潮资讯网
2021-06-26,2021,重大资产重组,巨化股份关于终止重大资产重组事项相关内幕信息知情人买卖股票情况自查报告的公告,http://static.cninfo.com.cn/finalpage/2021-06-26/1210339548.PDF,重大资产重组,巨潮资讯网
2023-12-06,2023,收购/并购,巨化股份收购股权公告,http://static.cninfo.com.cn/finalpage/2023-12-06/1218523840.PDF,股权收购,巨潮资讯网
2024-01-23,2024,收购/并购,巨化股份关于收购股权事项完成变更登记的公告,http://static.cninfo.com.cn/finalpage/2024-01-23/1218968281.PDF,股权收购,巨潮资讯网
