event_date,year,event_type,detail,pdf_url,keyword,source
2012-09-27,2012,收购/并购,独立董事关于公司收购股权的独立意见,http://static.cninfo.com.cn/finalpage/2012-09-27/61613332.PDF,股权收购,巨潮资讯网
2012-09-27,2012,收购/并购,关于收购聊城煤武新材料科技有限公司全部股权的公告,http://static.cninfo.com.cn/finalpage/2012-09-27/61613330.PDF,股权收购,巨潮资讯网
2013-04-17,2013,资产置换,关于《江苏东源电器集团股份有限公司重大资产置换及以新增股份换股吸收合并山东润银生物化工股份有限公司并募集配套资金暨关联交易报告书（草案）》中编造我公司相关数据的声明,http://static.cninfo.com.cn/finalpage/2013-04-17/62371852.PDF,资产置换,巨潮资讯网
2013-10-18,2013,其他重组事项,关于控股股东名称变更的公告,http://static.cninfo.com.cn/finalpage/2013-10-18/63165342.PDF,控股股东变更,巨潮资讯网
2019-10-30,2019,其他重组事项,关于控股股东股权结构变更的公告,http://static.cninfo.com.cn/finalpage/2019-10-30/1207036935.PDF,控股股东变更,巨潮资讯网
2019-10-30,2019,控制权变更,关于实际控制人筹划重大事项暨控制权可能发生变更的提示性公告,http://static.cninfo.com.cn/finalpage/2019-10-30/1207036936.PDF,控制权变更,巨潮资讯网
2019-11-05,2019,其他重组事项,中诚信证评关于关注公司控股股东股权结构变更及实际控制人可能发生变更的公告,http://static.cninfo.com.cn/finalpage/2019-11-05/1207067486.PDF,实际控制人变更,巨潮资讯网
2019-12-21,2019,收购/并购,收购报告书摘要,http://static.cninfo.com.cn/finalpage/2019-12-21/1207183084.PDF,收购报告书,巨潮资讯网
2019-12-21,2019,其他重组事项,关于实际控制人拟发生变更的提示性公告,http://static.cninfo.com.cn/finalpage/2019-12-21/1207183085.PDF,实际控制人变更,巨潮资讯网
2019-12-25,2019,其他重组事项,关于控股股东股权无偿划转暨实际控制人拟变更获得聊城市人民政府批准的进展公告,http://static.cninfo.com.cn/finalpage/2019-12-25/1207190946.PDF,实际控制人变更,巨潮资讯网
2019-12-26,2019,其他重组事项,中诚信证评关于关注公司控股股东股权结构及实际控制人拟发生变更的公告,http://static.cninfo.com.cn/finalpage/2019-12-26/1207198942.PDF,实际控制人变更,巨潮资讯网
2020-02-22,2020,其他重组事项,关于控股股东股权无偿划转暨实际控制人拟变更事项签署划转协议补充协议的进展公告,http://static.cninfo.com.cn/finalpage/2020-02-22/1207317573.PDF,实际控制人变更,巨潮资讯网
2020-03-20,2020,其他重组事项,关于控股股东股权无偿划转暨实际控制人拟变更事项通过中国和韩国反垄断审查的公告,http://static.cninfo.com.cn/finalpage/2020-03-20/1207386686.PDF,实际控制人变更,巨潮资讯网
2020-04-22,2020,其他重组事项,关于控股股东股权无偿划转暨实际控制人拟变更事项获得国务院国资委批复的公告,http://static.cninfo.com.cn/finalpage/2020-04-22/1207550739.PDF,实际控制人变更,巨潮资讯网
2020-04-23,2020,收购/并购,关于《收购报告书摘要》修订说明的公告,http://static.cninfo.com.cn/finalpage/2020-04-23/1207558194.PDF,收购报告书,巨潮资讯网
2020-04-23,2020,其他重组事项,关于控股股东股权无偿划转暨实际控制人拟变更事项签署划转协议补充协议的进展公告,http://static.cninfo.com.cn/finalpage/2020-04-23/1207558195.PDF,实际控制人变更,巨潮资讯网
2020-04-23,2020,收购/并购,收购报告书摘要（修订稿）,http://static.cninfo.com.cn/finalpage/2020-04-23/1207558196.PDF,收购报告书,巨潮资讯网
2020-04-30,2020,收购/并购,中银国际证券股份有限公司关于公司收购报告书之财务顾问报告,http://static.cninfo.com.cn/finalpage/2020-04-30/1207681504.PDF,收购报告书,巨潮资讯网
2020-04-30,2020,收购/并购,收购报告书,http://static.cninfo.com.cn/finalpage/2020-04-30/1207681503.PDF,收购报告书,巨潮资讯网
2020-04-30,2020,收购/并购,北京市天元律师事务所关于《鲁西化工集团股份有限公司收购报告书》之法律意见,http://static.cninfo.com.cn/finalpage/2020-04-30/1207681501.PDF,收购报告书,巨潮资讯网
2020-05-15,2020,其他重组事项,关于控股股东股权无偿划转暨实际控制人拟变更事项通过土耳其和巴基斯坦反垄断审查的公告,http://static.cninfo.com.cn/finalpage/2020-05-15/1207807431.PDF,实际控制人变更,巨潮资讯网
2020-06-16,2020,控制权变更,关于控股股东股权无偿划转完成工商变更登记暨实际控制人变更的提示性公告,http://static.cninfo.com.cn/finalpage/2020-06-16/1207927269.PDF,实际控制人变更,巨潮资讯网
2020-08-25,2020,其他重组事项,关于控股股东股权结构变更的公告,http://static.cninfo.com.cn/finalpage/2020-08-25/1208236668.PDF,控股股东变更,巨潮资讯网
2020-09-07,2020,收购/并购,中银国际证券股份有限公司关于中化投资发展有限公司及其一致行动人免于以要约方式收购公司之2020年半年度持续督导意见,http://static.cninfo.com.cn/finalpage/2020-09-07/1208401888.PDF,要约收购,巨潮资讯网
2020-10-29,2020,要约收购,上海市锦天城律师事务所关于中化投资发展有限公司申请豁免要约收购的法律意见书,http://static.cninfo.com.cn/finalpage/2020-10-29/1208639211.PDF,要约收购,巨潮资讯网
2020-11-10,2020,收购/并购,中银国际证券股份有限公司关于中化投资发展有限公司及其一致行动人免于以要约方式收购公司之2020年第三季度持续督导意见,http://static.cninfo.com.cn/finalpage/2020-11-10/1208713998.PDF,要约收购,巨潮资讯网
2021-04-07,2021,收购/并购,中银国际证券股份有限公司关于中化投资发展有限公司及其一致行动人免于以要约方式收购鲁西化工集团股份有限公司之2020年度持续督导意见,http://static.cninfo.com.cn/finalpage/2021-04-07/1209641876.PDF,要约收购,巨潮资讯网
2021-05-12,2021,收购/并购,中银国际证券股份有限公司关于中化投资发展有限公司及其一致行动人免于以要约方式收购鲁西化工集团股份有限公司之2021年第一季度持续督导意见,http://static.cninfo.com.cn/finalpage/2021-05-12/1209953550.PDF,要约收购,巨潮资讯网
2021-08-12,2021,收购/并购,中银国际证券股份有限公司关于中化投资发展有限公司及其一致行动人免于以要约方式收购鲁西化工集团股份有限公司之2021年半年度持续督导意见,http://static.cninfo.com.cn/finalpage/2021-08-12/1210725222.PDF,要约收购,巨潮资讯网
2021-08-31,2021,收购/并购,鲁西化工集团股份有限公司收购报告书摘要,http://static.cninfo.com.cn/finalpage/2021-08-31/1210923260.PDF,收购报告书,巨潮资讯网
2021-09-04,2021,收购/并购,收购报告书,http://static.cninfo.com.cn/finalpage/2021-09-04/1210968967.PDF,收购报告书,巨潮资讯网
2021-09-04,2021,收购/并购,关于鲁西化工集团股份有限公司收购报告书之法律意见,http://static.cninfo.com.cn/finalpage/2021-09-04/1210968968.PDF,收购报告书,巨潮资讯网
2021-09-04,2021,收购/并购,关于中国中化控股有限责任公司收购鲁西化工集团股份有限公司免于发出要约之法律意见,http://static.cninfo.com.cn/finalpage/2021-09-04/1210968969.PDF,要约收购,巨潮资讯网
2022-04-18,2022,发行股份购买资产,关于筹划发行股份购买资产暨关联交易事项的停牌公告,http://static.cninfo.com.cn/finalpage/2022-04-18/1212942045.PDF,发行股份购买资产,巨潮资讯网
2022-04-30,2022,重大资产重组,董事会关于本次交易不构成《上市公司重大资产重组管理办法》第十三条规定的重组上市的说明,http://static.cninfo.com.cn/finalpage/2022-04-30/1213263867.PDF,重大资产重组,巨潮资讯网
2022-04-30,2022,重大资产重组,董事会关于本次交易符合《关于规范上市公司重大资产重组若干问题的规定》第四条的说明,http://static.cninfo.com.cn/finalpage/2022-04-30/1213263868.PDF,重大资产重组,巨潮资讯网
2022-04-30,2022,重大资产重组,董事会关于本次交易符合《上市公司重大资产重组管理办法》第十一条规定的说明,http://static.cninfo.com.cn/finalpage/2022-04-30/1213263869.PDF,重大资产重组,巨潮资讯网
2022-04-30,2022,重大资产重组,董事会关于本次交易符合《上市公司重大资产重组管理办法》第四十三条规定的说明,http://static.cninfo.com.cn/finalpage/2022-04-30/1213263870.PDF,重大资产重组,巨潮资讯网
